% Raw measurement data for Experiment 3
% Object and image distances for thin lens

Measurement_No,Object_Distance_do_cm,Image_Distance_di_cm,Reciprocal_do,Reciprocal_di,Magnification_m,Focal_Length_f_cm
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,
